month,submissions,historical_delta,cumulative
1991-07,2,-2,2
1991-08,28,-1,30
1991-09,58,0,88
1991-10,76,0,164
1991-11,64,0,228
1991-12,78,0,306
1992-01,193,-105,499
1992-02,134,-10,633
1992-03,120,-3,753
1992-04,225,-41,978
1992-05,237,-11,1215
1992-06,237,-5,1452
1992-07,296,-22,1748
1992-08,227,-4,1975
1992-09,336,-21,2311
1992-10,401,-29,2712
1992-11,453,-16,3165
1992-12,404,-10,3569
1993-01,400,-36,3969
1993-02,428,-16,4397
1993-03,504,-9,4901
1993-04,505,-17,5406
1993-05,538,-7,5944
1993-06,536,-16,6480
1993-07,643,-35,7123
1993-08,541,-25,7664
1993-09,518,-16,8182
1993-10,678,-36,8860
1993-11,714,-16,9574
1993-12,738,-15,10312
1994-01,610,-28,10922
1994-02,653,-19,11575
1994-03,753,-24,12328
1994-04,738,-39,13066
1994-05,841,-18,13907
1994-06,888,-32,14795
1994-07,863,-23,15658
1994-08,766,-20,16424
1994-09,884,-33,17308
1994-10,932,-23,18240
1994-11,1114,-39,19354
1994-12,1055,-33,20409
1995-01,933,-36,21342
1995-02,977,-36,22319
1995-03,1168,-37,23487
1995-04,913,-31,24400
1995-05,1110,-22,25510
1995-06,1195,-27,26705
1995-07,1017,-25,27722
1995-08,1030,-22,28752
1995-09,1133,-29,29885
1995-10,1229,-23,31114
1995-11,1162,-28,32276
1995-12,1147,-37,33423
1996-01,1051,-22,34474
1996-02,1076,-23,35550
1996-03,1169,-23,36719
1996-04,1220,-49,37939
1996-05,1358,-42,39297
1996-06,1311,-34,40608
1996-07,1424,-32,42032
1996-08,1394,-19,43426
1996-09,1474,-21,44900
1996-10,1520,-30,46420
1996-11,1402,-27,47822
1996-12,1467,-33,49289
1997-01,1308,-31,50597
1997-02,1362,-34,51959
1997-03,1411,-24,53370
1997-04,1468,-34,54838
1997-05,1581,-32,56419
1997-06,1709,-31,58128
1997-07,1804,-41,59932
1997-08,1426,-15,61358
1997-09,1882,-37,63240
1997-10,2007,-26,65247
1997-11,1717,-32,66964
1997-12,1949,-31,68913
1998-01,1723,-11,70636
1998-02,1668,0,72304
1998-03,1911,-3,74215
1998-04,1747,-12,75962
1998-05,1918,-2,77880
1998-06,2089,-6,79969
1998-07,2101,-12,82070
1998-08,1826,-6,83896
1998-09,2414,-9,86310
1998-10,2330,-33,88640
1998-11,2242,-14,90882
1998-12,2203,-7,93085
