,source,target
147,1,0
368,2,0
369,2,1
1811,3,0
1812,3,1
2742,4,0
3017,5,1
3016,5,0
3397,6,0
3398,6,1
2194,7,0
2195,7,1
276,8,0
277,8,1
1081,9,1
1080,9,0
1837,10,1
1836,10,0
2719,11,1
2718,11,0
1089,12,0
1090,12,1
3296,13,0
3297,13,1
3298,13,7
1371,14,1
1370,14,0
2620,15,0
2621,15,1
2622,15,7
2886,16,1
2885,16,0
3316,17,1
3315,17,0
1662,18,7
2306,19,7
2544,20,1
2543,20,0
3414,21,13
180,22,0
181,22,1
182,22,7
1556,23,0
1708,24,3
1707,24,1
1706,24,0
2253,25,0
2254,25,7
3729,26,0
3730,26,1
148,27,0
149,27,1
2283,28,1
2282,28,0
2967,29,19
600,30,24
599,30,3
598,30,1
597,30,0
1234,31,7
3226,32,1
3225,32,0
3292,33,0
3293,33,1
110,34,13
312,35,19
313,35,29
539,36,28
1117,37,1
1116,37,0
1961,38,16
3859,39,29
3858,39,19
1350,40,1
1349,40,0
3266,41,1
3267,41,3
3268,41,30
3265,41,0
3410,42,8
3412,42,33
3407,42,0
3411,42,28
3409,42,7
3413,42,37
3408,42,1
3758,43,35
3756,43,19
3757,43,29
1051,44,1
1050,44,0
2146,45,1
2145,45,0
3261,46,29
3260,46,19
3473,47,7
21,48,19
22,48,29
23,48,43
541,49,1
540,49,0
596,50,13
1434,51,7
1870,52,1
1869,52,0
1884,53,43
1883,53,29
1882,53,19
2117,54,1
2116,54,0
2219,55,19
2220,55,29
3554,56,13
627,57,1
626,57,0
1515,58,13
1774,59,36
2241,60,7
2240,60,1
2239,60,0
394,61,59
1141,62,0
1142,62,1
1443,63,22
1442,63,7
1441,63,1
1440,63,0
2314,64,0
2315,64,1
2316,64,7
2542,65,61
3177,66,0
3178,66,1
3204,67,7
3776,68,61
475,69,1
476,69,2
474,69,0
1581,70,7
2600,71,61
2599,71,59
3525,72,61
3569,73,4
994,74,61
1555,75,66
1554,75,1
1553,75,0
3210,76,1
3209,76,0
3314,77,61
3313,77,59
166,78,7
260,79,77
664,80,13
1245,81,77
1535,82,1
1534,82,0
3287,83,61
3566,84,42
3645,85,36
1597,86,61
1988,87,13
2292,88,1
2291,88,0
2296,88,41
2295,88,30
2294,88,24
2293,88,3
2515,89,77
3040,90,81
713,91,0
715,91,3
716,91,30
717,91,41
714,91,1
1316,92,7
1826,93,81
1825,93,77
2086,94,13
2097,95,77
2098,95,81
2176,96,61
2177,96,83
2436,97,61
3720,98,49
3719,98,1
3718,98,0
875,99,3
873,99,0
874,99,1
878,99,91
877,99,41
876,99,30
2165,100,1
